Date,Tourney,Winner_name,Loser_name,Mrkt_Open_Time,W_MrkOp_odds,L_MrkOp_odds,Mrkt_Cls_Time,W_MrkCl_odds,L_MrkCl_odds,Curr_Mrkt_Time,W_Max_odds,Curr_Mrkt_Time,L_Max_odds
20151123,Challenger Tour Finals,Guilherme Clezar,Radu Albot,20151127 1030,1.66,2.5,20151127 2151,1.58,2.72,20151127 1140,1.78,20151127 2148,2.72
20151115,Tour Finals,Novak Djokovic,Kei Nishikori,20151115 0732,1.09,12.0,20151115 1413,1.09,12.0,20151115 1233,1.1,20151115 0732,12.0
20151115,Tour Finals,Roger Federer,Tomas Berdych,20151113 2211,1.25,5.0,20151115 2007,1.29,4.5,20151115 0742,1.29,20151113 2211,5.0
20151115,Tour Finals,Andy Murray,David Ferrer,20151205 1911,1.56,2.74,20151205 1911,1.56,2.74,20151205 1911,1.56,20151205 1911,2.74
20151115,Tour Finals,Rafael Nadal,Stanislas Wawrinka,20151113 1158,1.64,2.56,20151116 2014,1.75,2.34,20151116 2002,1.79,20151113 1327,2.82
20151115,Tour Finals,Kei Nishikori,Tomas Berdych,20151113 1453,12.5,1.09,20151117 1409,2.58,1.63,20151113 1453,12.5,20151117 1345,1.68
20151115,Tour Finals,Roger Federer,Novak Djokovic,20151121 2231,3.3,1.43,20151122 1810,3.25,1.45,20151121 2246,3.35,20151122 1233,1.49
20151115,Tour Finals,Rafael Nadal,Andy Murray,20151115 2059,1.53,2.86,20151118 1409,2.74,1.58,20151118 0654,3.0,20151115 2059,2.86
20151115,Tour Finals,Stanislas Wawrinka,David Ferrer,20151117 0938,1.67,2.5,20151118 2011,1.69,2.42,20151118 1957,1.75,20151118 0019,2.58
20151115,Tour Finals,Roger Federer,Kei Nishikori,20151117 1651,1.24,5.1,20151119 1411,1.21,5.9,20151117 1841,1.39,20151119 0810,6.4
20151115,Tour Finals,Novak Djokovic,Tomas Berdych,20151116 1059,1.12,9.4,20151119 2022,1.09,11.0,20151116 1059,1.12,20151119 1010,12.0
20151115,Tour Finals,Rafael Nadal,David Ferrer,20151117 1904,1.38,3.65,20151120 1413,1.26,4.7,20151117 1904,1.38,20151118 2145,5.3
20151115,Tour Finals,Stanislas Wawrinka,Andy Murray,20151113 1025,1.81,2.24,20151120 2008,2.42,1.7,20151117 2202,4.4,20151113 1025,2.24
20151115,Tour Finals,Novak Djokovic,Rafael Nadal,20151120 0319,1.2,6.0,20151121 1411,1.22,5.4,20151121 0944,1.25,20151120 0319,6.0
20151115,Tour Finals,Roger Federer,Stanislas Wawrinka,20151120 2236,1.38,3.6,20151121 2010,1.33,4.0,20151120 2300,1.43,20151121 1947,4.2
20151115,Tour Finals,Novak Djokovic,Roger Federer,20151121 2231,1.43,3.3,20151122 1810,1.45,3.25,20151122 1233,1.49,20151121 2246,3.35
20151102,Paris Masters,Thomaz Bellucci,Teymuraz Gabashvili,20151101 2109,1.81,2.22,20151102 1008,1.89,2.12,20151102 0918,1.89,20151101 2109,2.22
20151102,Paris Masters,Benoit Paire,Gael Monfils,20151101 0640,2.92,1.52,20151102 1837,3.2,1.45,20151102 1836,3.25,20151101 1058,1.58
20151102,Paris Masters,Roberto Bautista Agut,Pierre Hugues Herbert,20151031 1958,1.25,4.7,20151103 1404,1.54,2.84,20151103 1020,1.66,20151031 1958,4.7
20151102,Paris Masters,Bernard Tomic,Fabio Fognini,20151101 1524,1.84,2.18,20151102 1224,1.82,2.22,20151102 1145,1.89,20151102 0047,2.28
20151102,Paris Masters,Viktor Troicki,Jack Sock,20151101 1738,3.35,1.43,20151103 1235,3.5,1.4,20151103 0915,3.6,20151102 2158,1.47
20151102,Paris Masters,Dominic Thiem,Adrian Mannarino,20151101 1728,1.66,2.5,20151102 1006,1.65,2.58,20151101 1728,1.66,20151102 0805,2.9
20151102,Paris Masters,Alexandr Dolgopolov,Jiri Vesely,20151031 0507,1.67,2.5,20151102 1402,3.35,1.41,20151101 2236,3.65,20151031 0507,2.5
20151102,Paris Masters,Grigor Dimitrov,Pablo Carreno Busta,20151101 1824,1.9,2.1,20151102 2108,1.27,4.5,20151101 1824,1.9,20151102 1916,5.7
20151102,Paris Masters,Aljaz Bedene,Marcel Granollers,20151102 0604,1.75,2.34,20151102 1538,1.76,2.3,20151102 1313,1.87,20151102 0604,2.34
20151102,Paris Masters,Andreas Seppi,Pablo Cuevas,20151031 1358,1.87,2.14,20151102 1213,1.89,2.12,20151102 1056,1.9,20151101 2002,2.26
20151102,Paris Masters,Jeremy Chardy,Lucas Pouille,20151031 1050,1.48,3.05,20151103 1125,1.47,3.05,20151103 1036,1.49,20151101 2112,3.75
20151102,Paris Masters,Leonardo Mayer,Martin Klizan,20151101 0349,1.89,2.12,20151102 1739,2.02,1.97,20151102 1734,2.04,20151102 0604,2.14
20151102,Paris Masters,Dusan Lajovic,Nicolas Mahut,20151101 2244,2.34,1.74,20151102 1343,2.1,1.9,20151101 2244,2.34,20151102 1339,1.91
20151102,Paris Masters,Borna Coric,Fernando Verdasco,20151101 0342,2.26,1.79,20151103 1607,2.28,1.77,20151102 1938,2.34,20151103 0804,1.85
20151102,Paris Masters,Novak Djokovic,Thomaz Bellucci,20151102 1917,1.03,34.0,20151103 1840,1.07,15.5,20151103 1805,1.08,20151103 1732,42.0
20151102,Paris Masters,Gilles Simon,Benoit Paire,20151103 0119,1.52,2.92,20151103 2040,1.59,2.7,20151103 1936,1.6,20151103 0119,2.92
20151102,Paris Masters,Stanislas Wawrinka,Bernard Tomic,20151102 2020,1.48,3.1,20151103 1328,1.48,3.05,20151103 1315,1.5,20151102 2141,3.3
20151102,Paris Masters,Viktor Troicki,Feliciano Lopez,20151103 2241,2.38,1.72,20151104 1730,2.1,1.89,20151103 2241,2.38,20151104 1554,1.99
20151102,Paris Masters,Kevin Anderson,Dominic Thiem,20151103 1057,1.5,3.0,20151104 2036,1.43,3.3,20151104 0957,1.54,20151104 2036,3.3
20151102,Paris Masters,Rafael Nadal,Lukas Rosol,20151104 0326,1.21,5.7,20151104 1535,1.19,6.2,20151104 0326,1.21,20151104 1511,6.2
20151102,Paris Masters,David Ferrer,Alexandr Dolgopolov,20151102 1939,1.29,4.4,20151103 1008,1.23,5.2,20151102 1939,1.29,20151103 1004,5.2
20151102,Paris Masters,Grigor Dimitrov,Marin Cilic,20151103 1604,2.42,1.71,20151104 1041,2.58,1.63,20151104 0451,2.68,20151103 1604,1.71
